Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,FSR,Label
0,0.02537545,-0.202430599,9.832768677,0,0,0,300,0
0,0.085779489,0.000817428,9.810518459,0,0,0,300,0
0,0.001969866,0.090121384,9.870466915,0,0,0,298,0
0,0.039732225,0.112234112,9.919115862,0,0,0,302,0
0,0.153430089,0.110712262,9.813290649,0,0,0,303,0
0,0.097559912,0.083871168,9.762674766,0,0,0,300,0
0,0.045852248,-0.02806165,9.689342439,0,0,0,303,0
0,-0.002600661,0.054805719,9.806366675,0,0,0,303,0
0,-0.019029896,0.023316193,9.684223409,0,0,0,298,0
0,0.120137362,0.105957167,9.630417903,0,0,0,298,0
0,0.039684767,0.101746862,9.740353075,0,0,0,299,0
0,-0.028442705,0.048754986,9.833008359,0,0,0,301,0
0,-0.066190882,0.020871379,9.991639914,0,0,0,299,0
0,-0.044425835,0.073434439,9.863457659,0,0,0,299,0
0,0.124129041,-0.163973856,9.895963843,0,0,0,301,0
0,0.008703271,0.051300366,9.949474541,0,0,0,300,0
0,0.048393314,0.109975368,9.983061142,0,0,0,300,0
0,-0.056088315,-0.030731596,9.789424003,0,0,0,303,0
0,0.010596915,0.072294791,9.789262991,0,0,0,303,0
0,-0.09693652,0.098028822,9.760055416,0,0,0,301,0
0,0.266388523,0.140174125,9.744565412,0,0,0,300,0
0,-0.027389578,-0.037263682,9.728202288,0,0,0,303,0
0,-0.109335066,-0.021032705,9.873570342,0,0,0,300,0
0,-0.138354905,0.060692918,9.749119057,0,0,0,297,0
0,0.033700192,0.032333153,9.847868753,0,0,0,299,0
0,-0.202563036,0.021155584,9.912889061,0,0,0,299,0
0,-0.111530155,-0.153590391,9.671267174,0,0,0,297,0
0,-0.173459127,-0.024623537,10.0220253,0,0,0,299,0
0,0.170332872,0.098462581,9.944237697,0,0,0,299,0
0,0.000613601,-0.041183561,9.660446731,0,0,0,300,0
0,0.055032693,-0.067279472,9.827365679,0,0,0,301,0
0,0.014226986,0.017986069,9.881317468,0,0,0,299,0
0,-0.192892544,-0.039407844,9.654390579,0,0,0,299,0
0,0.07296406,0.074490844,9.849791967,0,0,0,302,0
0,0.027614551,-0.019915081,9.748597508,0,0,0,303,0
0,-0.210021941,-0.138198964,9.873870057,0,0,0,300,0
0,0.045010523,0.015804231,9.789228406,0,0,0,299,0
0,-0.08143801,0.022751523,9.852171087,0,0,0,295,0
0,0.044698973,-0.008697022,9.715583001,0,0,0,300,0
0,0.053048547,0.15964954,9.678849936,0,0,0,300,0
0,-0.034796254,-0.209616302,9.724753719,0,0,0,298,0
0,0.022263828,0.183470602,9.870529879,0,0,0,301,0
0,-0.27250368,0.142464443,9.820552087,0,0,0,300,0
0,-0.013587539,-0.094096947,9.804347453,0,0,0,298,0
0,0.088568581,-0.006637732,9.855582844,0,0,0,300,0
0,0.000722021,0.060299948,9.929634595,0,0,0,297,0
0,-0.061522819,0.082553041,9.893158198,0,0,0,304,0
0,0.127376123,0.127978159,9.66918185,0,0,0,298,0
0,-0.005482779,-0.093419666,9.678517636,0,0,0,299,0
0,0.001980543,-0.021976053,9.701134285,0,0,0,301,0
0,0.018412243,-0.040001265,9.997522451,0,0,0,298,0
0,-0.023901727,0.05216584,9.747609911,0,0,0,300,0
0,0.055773474,0.103877089,9.709966258,0,0,0,300,0
0,-0.0317036,0.007146365,9.807395899,0,0,0,298,0
0,0.194672811,-0.012374336,9.850335727,0,0,0,298,0
0,0.236307955,0.05667816,9.868403729,0,0,0,299,0
0,-0.030061982,0.062482275,9.661835249,0,0,0,298,0
0,0.006925119,0.16571874,9.915114094,0,0,0,299,0
0,-0.023479282,0.239907147,9.874824872,0,0,0,304,0
0,-0.129632423,0.014350793,9.659114245,0,0,0,302,0
0,0.160658463,0.111029309,9.635438121,0,0,0,300,0
0,-0.181142679,0.042665802,9.74576297,0,0,0,298,0
0,0.053110317,-0.032846915,9.738393335,0,0,0,299,0
0,0.042061253,-0.000121778,9.745201529,0,0,0,299,0
0,0.199949608,-0.072410335,9.912246906,0,0,0,303,0
0,0.087775567,-0.052834674,9.880708965,0,0,0,299,0
0,-0.03949144,0.025318506,9.831494528,0,0,0,299,0
0,-0.043295417,-0.099046636,9.883227767,0,0,0,302,0
0,0.168013496,-0.055878951,9.737266373,0,0,0,301,0
0,-0.081556263,0.170669815,9.698748667,0,0,0,297,0
0,0.025799605,-0.044648023,9.888627682,0,0,0,299,0
0,0.00152596,0.099892681,9.932266223,0,0,0,298,0
0,0.014241452,0.017170517,9.734257786,0,0,0,297,0
0,0.108249022,0.153613766,9.803985069,0,0,0,301,0
0,-0.136909482,-0.269580271,9.772972064,0,0,0,301,0
0,0.08706705,-0.120134311,9.856642265,0,0,0,302,0
